,Sentence,Source,Verb,Sense,Sense Meaning,Rolese,Arguments
TRANSITIVE,"Most of the demonstrators were orderly and good-humored, but a fringe of activists broke some doors and windows of the halls and committed two minor assaults.",COCA 2000,break,break.01,"break, cause to not be whole","ARG0 breaker
ARG1: thing broken
ARG2: instrument
ARG3: pieces
ARG4: arg1 broken away from what?","Arg0: a fringe of activists
Rel: broke
Arg1: some doors and windows of the halls"
,But the local leaders were ecstatic; this number broke all records for a single registration day.,COCA 2006,break,break.01,"break, cause to not be whole","ARG0: breaker
ARG1: thing broken
ARG2: instrument
ARG3: pieces
ARG4: arg1 broken away from what?","Arg0: this number
Rel: broke
Arg1: all records for a single registration day.
"
,Ty poured some syrup in his pan and got a piece of bread. ,COCA 2001,pour,pour.01,move liquids,"ARG0: agent, pourer
ARG1: liquid
ARG2: source
ARG3: destination","Arg0: Ty
Rel: poured
Arg1: some syrup
Arg3: in his pan"
,… Everyone from blue-chip companies to little old ladies poured that money into the stock market.,COCA - 2001,pour,pour.01,move liquids,"ARG0: agent, pourer
ARG1: liquid
ARG2: source
ARG3: destination","Arg0: Everyone from blue chip companies to little old ladies
Rel: poured
Arg1: that money
Arg3: into the stock market"
,It was due to illness and the doctor wrote a letter saying I couldn't fly.,COCA - 2012,write,write.01,set pen to paper,"ARG0: writer
ARG1: thing written
ARG2: benefactive","Arg0: the doctor
Rel: wrote
Arg1: a letter saying I couldn’t fly."
,"… go back to the 19th Century, when Mark Twain wrote ""Whiskey's for drinking, water's for fighting over.",COCA - 2012,write,write.01,set pen to paper,"ARG0: writer
ARG1: thing written
ARG2: benefactive","Arg0: Mark Twain
Rel: wrote
Arg1: “Whiskey’s for drinking, water’s for fighting over.” 
ArgM-TMP: when"
,I saw that dude dealing drugs.,COCA 2009,deal,deal.02,"play cards, distribute something, distribution","ARG0: dealer, distributor
ARG1: cards, thing distributed
ARG2: other player(s), distributed-to","Arg0: that dude
Rel: dealing
Arg1: drugs"
,The author deals accolades and dishes out the royal dirt with an even hand.,COCA 2012,deal,deal.02,"play cards, distribute something, distribution","ARG0: dealer, distributor
ARG1: cards, thing distributed
ARG2: other player(s), distributed-to","Arg0: The author
Rel: deals
Arg1: accolades"
,Ok so last night my wife smelled something like it was burning …,COCA 2012,smell,smell.01,"notice an odor, act of smelling","ARG0: entity with a nose
ARG1: stinky thing","ArgM-TMP: last night
Arg0: my wife
Rel: smelled
Arg1: something like it was burning …"
,This reporter smells another Emmy. ,COCA 1990,smell,smell.01,"notice an odor, act of smelling","ARG0: entity with a nose
ARG1: stinky thing","Arg0: this reporter
Rel: smells
Arg1: another Emmy."
,I can't parse what you mean here. ,COCA 2012,parse,parse.01,analyze into parts,"ARG0: parser
ARG1: thing analyzed
ARG2: end state, parts","Arg0: I
ArgM-MOD: can
ArgM-NEG:n’t
Rel: parse
Arg1: what you mean here."
,Jill can probably parse the consent/non-consent question with far more finesse than I can. ,COCA 2012,parse,parse.01,analyze into parts,"ARG0: parser
ARG1: thing analyzed
ARG2: end state, parts","Arg0: Jill
ArgM-MOD: can
ArgM-ADV: probably
Rel: parse
Arg1: the consent/non-consent question
ArgM-MNR: with far more finesse than I can "
,"… the Palestinians rained stones down onto Jews praying at the Western Wall below, injuring 11.",COCA 1990,rain,rain.01,rain,"ARG0: metaphorical agent
ARG1: metaphorical rain
ARG2: rained upon","Arg0: …the Palestinians
Rel: rained
Arg1: stones
ArgM-DIR: down 
Arg2: onto Jews praying at the Western Wall
ArgM-ADV: injuring 11."
,In his mid-20s fate rained money on him …,COCA 2005,rain,rain.01,rain,"ARG0: metaphorical agent
ARG1: metaphorical rain
ARG2: rained upon","ArgM-TMP: In his mid-20s
Arg0: fate
Rel: rained
Arg1: money
Arg2: on him "
INTRANSITIVE,I think you were badly cut when the chair broke under you. ,COCA 2001,break,break.01,"break, cause to not be whole","ARG0: breaker
ARG1: thing broken
ARG2: instrument
ARG3: pieces
ARG4: arg1 broken away from what?","Arg1: the chair
Rel: broke
ArgM-LOC: under yo
"
,… that marriage broke apart because of her feelings for this other astronaut?,COCA 2007,break,break.16,separate one entity from another,"ARG0: entity in motion
ARG1: movement away from what
ARG2: secondary predication on arg0 (free, loose, etc)","Arg0: that marriage 
Rel: broke
Arg2: apart"
